属性グループ名,数
性別,2504
役職,1799
年齢,1240
雇用形態,838
勤続年数,836
入社形態,836
部,828
職種,753
入社時期,658
課,560
本部,435
部署,432
年代,431
等級,416
グループ,387
部門,385
事業部,362
チーム,341
年齢層,327
雇用区分,307
国籍,275
会社名,269
拠点,256
会社,215
勤務区分,214
採用区分,202
全体結果,184
職位,180
所属,178
入社区分,154
入社年度,143
勤務地,142
資格,140
入社年,137
入社年次,135
社員区分,128
クラス,127
従業員区分,127
事業所,103
就業年数,90
グレード,82
階層,82
店舗,78
部署1,77
係,77
部署2,75
役割,74
ユニット,71
エリア,68
社歴,63
勤務形態,57
管理職区分,57
職群,55
所属部門,53
部・室,52
部署3,51
担当,49
室,49
事業本部,49
プロジェクト,48
役職区分,47
職掌,46
支社,45
在籍年数,42
統括部,40
学歴,40
現会社での就業年数,40
入社経路,40
店舗・課,39
等級群,39
支店,38
年次,38
組織2,35
等級・グレード,35
役職2,34
採用形態,33
その他,33
所属会社,33
在籍期間,33
営業所,32
組織4,32
資格等級,31
組織1,31
役職1,29
所属2,29
法人,29
所属1,29
職務,28
組織3,27
採用,27
ブロック,27
入社経緯,26
コース,25
所属3,25
班,25
組織,25
所属部署,24
課・チーム,24
セクション,24
在職年数,24
年齢区分,24
入社歴,24
生年,23
役職名,23
最終学歴,23
分析用,22
Age,22
ランク,22
カンパニー,22
Division,22
就業場所,21
役職・職位,21
内外勤,21
Team,20
事業部・本部,20
Gender,20
課・店舗,20
Position,20
就業形態,20
センター,20
組織5,19
勤務年数,19
事業所名,19
Department,19
職級,18
Grade,18
職掌・資格（職種・等級）,18
工場,18
組織6,18
店,18
本社,18
ジョブグレード,18
役職別,17
入社年数,17
入社会社,17
職務区分,17
外国籍,17
勤続,17
組織7,17
関係会社,16
キャリア,16
勤務場所,16
男女,16
配属,16
第一階層,16
新規属性,16
年齢（10年刻み）,16
テスト,15
入社,15
区分,15
役割等級,15
第二階層,15
組織階層１,15
組織9,14
管轄,14
事業,14
第三階層,14
職能資格,14
Group,14
組織8,14
家族構成,13
出向区分,13
第1階層,13
統合用,13
地区,13
職責,13
組織階層５,13
出向先,13
所属チーム,13
資格級,13
Unit,13
第3階層,13
閲覧範囲パターン,13
店舗名,13
第2階層,13
第4階層,13
職分,13
ステージ,12
退職者フラグ,12
部・支店・G,12
統轄部／部,12
婚姻,12
雇用,12
組織（部）,12
地域,12
所属4,12
年齢層(5歳刻み),12
職名,12
所属する法人,12
採用種別,12
拠点／ユニット／センター,12
通勤時間,12
拠点（事業所）,12
管理職,12
部室,12
年齢層(10歳刻み),12
役職名称,12
世代,12
ディビジョン,11
管掌,11
国籍（地域）,11
現所属,11
入社年次区分,11
年齢（回答時点）,11
分社,11
組織階層２,11
役職(グループ共通),11
評価,11
組織階層７,11
婚姻区分,11
第5階層,11
営業所・課・店舗,11
役職(人事用),11
所属グループ,10
局,10
年齢（5年刻み）,10
役職（個社）,10
所属本部,10
事業部／本部,10
（関）課長傘下のグループ,10
年齢（各社共通）,10
役職（各社共通）,10
雇用形態（各社共通）,10
職種（各社共通）,10
現在の職位,10
在籍会社,10
統括,10
統括本部,10
課・室,10
退職,10
Section,10
支店／統轄部傘下営業部 等,10
出向,10
職制,10
年齢（5歳ごと）,9
オフィス,9
組織（本部・統括部）,9
会社別,9
入社区分別,9
第6階層,9
部店,9
部長（チームで働く力）,9
部門別,9
未既婚,9
Role,9
事業部・部,9
兼務,9
組織（グループ）,9
課・グループ,9
本支店,9
入社種別,9
第7階層,9
所属法人,9
課長（チームで働く力）,9
施設名,9
転勤区分,9
単身赴任者,9
セクター,9
資格（等級）,9
採用区分名称,9
職掌（職種）,9
残業時間,9
事業会社,8
業務,8
バンド,8
社宅入居,8
単身赴任の適用,8
技術研究所グループ,8
Job Title,8
組織区分A,8
身分,8
セグメント,8
所属組織,8
出身,8
働き方,8
職層,8
役員,8
技術研究所,8
事業所課,8
原籍,8
チーム・営業所等,8
担当役員,8
勤務エリア,8
勤続年数（グループ）,8
入社年月日,8
課名,8
部・課,8
職階,8
組織階層４,8
契約形態,8
組織区分B,8
入社日,8
部署名,8
ユニット・支店,8
パフォーマンス,8
ポジション,8
第8階層,8
第9階層,8
資格等級区分,8
領域,8
Title,7
研修,7
支社・本部,7
第10階層,7
グループ・課,7
Hometown,7
Working period in RFV,7
事業部・部署,7
役職グループ,7
事業場,7
採用コース名称,7
本部／統括部,7
BU・センター,7
職能,7
営業部,7
扶養家族,7
グループ名,7
社員区分（役職）,7
University,7
事業所・本社部署,7
組織階層2,7
本籍会社,7
本社・支店,7
資格名,7
子供の有無,7
事業部門,7
仮想組織_2,7
子供,7
店舗別,7
Team change,7
Academic history,7
新卒,7
ライン,7
全社,7
職能等級,7
部署別,7
新組織,7
入社形態別,7
役職②,7
Latest Evaluation,7
Joining channel,7
Nationality,6
所属長,6
Recruitment Type,6
部署　１,6
会社番号,6
所属部,6
入社年月,6
結婚,6
所属１,6
Company,6
転籍・プロパー,6
仮想組織_1,6
本部・事業部,6
入社時の形態,6
Starting Year,6
生年月日,6
Age 5 years,6
マネージャー傘下のグループ,6
部署　２,6
組織階層３,6
Div,6
統括部門,6
事務所,6
満年齢,6
新卒/中途,6
部／室,6
第四階層,6
事業部／統轄部／本社機能部,6
部・室・工場,6
部署　３,6
部・支店,6
課・営業所,6
JPO新潟鉱業所各部,6
生まれ年,6
事業部/部,6
Job Categories,6
Employment Type,6
Assignment,6
支店・課・部,6
事業本部・事業部,6
職種名,6
課・室・オフィス,6
年齢（5歳刻み）,6
JPO新潟鉱業所各グループ,6
年代（５歳ごと）,5
年代（１０歳ごと）,5
部相当格,5
課相当格,5
係相当格,5
所属期間,5
ロール,5
カテゴリー,5
部/室,5
組織階層８,5
所属２,5
営業本部,5
勤務地域,5
レベル,5
グループ・営業所,5
部・課・センター,5
生年月日（１年）,5
本部・センター,5
勤務時間名称,5
ジョイン時期,5
内外勤区分,5
ＢＵ・センタ相当格,5
事業所・部,5
組織階層1,5
部／グルーブ,5
在籍区分,5
短時間勤務,5
部支店,5
年令,5
就業年数(派遣間含む),5
婚姻状況,5
組織_本部,5
組織_その他,5
組織階層3,5
業務形態,5
上長,5
取締役会,5
Location,5
リーダー,5
所属名2,5
部・グループ,5
年齢（10歳刻み）,5
事業所別,5
身分名,5
滞留年数,5
勤務時間,5
所属課,5
組織区分,5
退職予定,5
班相当格,5
配属先,5
勤務地区分,5
階層2,5
役職（統合）,5
課・担当,5
異動,5
組,5
入社方法,5
上司,5
ｸﾞﾙｰﾌﾟ,5
本社・支店・関連会社,5
勤務拠点,5
組織_部室,5
組織_グループ,5
組織_部門,5
生年月日（10年）,5
職務内容（観光バス）,4
役付,4
階層1,4
資格名称,4
部・支社,4
所,4
部名,4
年齢別,4
旧所属,4
Business/L1.5,4
係・拠点,4
仮想組織_3,4
部2,4
